t,ue_x,ue_y,ue_vx,ue_vy,ue_speed,true_angle_deg,selected_beam_idx,selected_beam_deg,oracle_beam_idx,oracle_beam_deg,tracking_error_deg,distance,blocked,outage,snr_db,beam_gain_db,path_loss_db,blockage_loss_db,reward
66,372.74463719139743,304.24190305951896,3.8514986464739795,-0.13300559768271195,3.8537945343266333,-27.09034945999315,33,-27.0,33,-27.0,0.09034945999314914,305.790303725321,False,False,19.31969881055035,-0.0009795629905264389,10.679321626459124,0.0,0.5527879524220141
67,376.67549077325714,304.1029280612171,3.9308535818597328,-0.13897499830186683,3.9333095393284894,-26.442462457794875,34,-26.0,34,-26.0,0.4424624577948748,303.89591352459263,False,False,19.356560312857365,-0.023492763186945757,10.61994692395569,0.0,0.5542624125142948
68,380.4517626307681,303.2063043575264,3.7762718575109724,-0.8966237036907206,3.8812579414217545,-25.875639340182573,34,-26.0,34,-26.0,0.12436065981742672,301.42627337081785,False,False,19.45615983747431,-0.001855868845227088,10.541984293680462,0.0,0.5782463934989723
69,384.030235670452,301.9314937422838,3.578473039683896,-1.2748106152425835,3.798764457093869,-25.364805645592412,35,-25.0,35,-25.0,0.364805645592412,298.7294292440915,False,False,19.527913820534902,-0.015969979086731582,10.456116200378366,0.0,0.5611165528213962
70,387.590651880363,300.682537518304,3.5604162099110033,-1.248956223979804,3.7731227434599743,-24.845775520941118,35,-25.0,35,-25.0,0.15422447905888248,296.0878110743971,False,False,19.625894131852654,-0.002854222792918042,10.371251645354429,0.0,0.5850357652741061
71,391.2284226027194,300.341147850496,3.6377707223563953,1.023685368799961,3.779061730473383,-24.23095216222913,36,-24.0,36,-24.0,0.23095216222912995,294.2664532982805,False,False,19.681302724725324,-0.006400668148597244,10.312296607126077,0.0,0.567252108989013
72,395.0142056520784,300.17552281552105,3.785783049359022,0.5166706660170111,3.820877107934323,-23.568199530073855,36,-24.0,36,-24.0,0.43180046992614507,292.58124874398953,False,False,19.720203041028288,-0.022374197499412763,10.257422761472299,0.0,0.5888081216411314
73,398.912702149649,300.3559221122851,3.8984964975706604,0.1803992967640637,3.902668170347522,-22.850940677728488,37,-23.0,37,-23.0,0.14905932227151197,291.2106417489389,False,False,19.784774447158284,-0.002666241786725096,10.212559311054992,0.0,0.5713909778863313
74,402.85007949613043,300.8930520635446,3.9373773464813966,0.5371299512594652,3.97384561264336,-22.093373325549294,38,-22.0,38,-22.0,0.0933733255492939,290.20196173363325,False,False,19.819546204958986,-0.0010462293508961304,10.179407565690118,0.0,0.5727818481983593
75,406.8324595373258,301.27196473570103,3.9823800411953414,0.37891267215646957,4.000365683988373,-21.333753929291277,39,-21.0,39,-21.0,0.33375392929127656,289.08061602188553,False,False,19.844215624429417,-0.013367002238083972,10.142417373332501,0.0,0.5737686249771767
76,410.7414932721245,302.32386712097855,3.9090337347986908,1.0519023852774976,4.048091324062081,-20.535055046707328,39,-21.0,39,-21.0,0.4649449532926724,288.6663789221039,False,False,19.84534264626282,-0.025940857151079032,10.128716496586103,0.0,0.5938137058505129
77,414.60095118276973,303.5146051485036,3.859457910645222,1.190738027525073,4.038969226700828,-19.734174088952983,40,-20.0,40,-20.0,0.2658259110470169,288.45581207430894,False,False,19.869775923325232,-0.008479609798077185,10.121744466876693,0.0,0.5747910369330094
78,418.4749806215333,304.7427164106684,3.874029438763585,1.2281112621647547,4.064032648080328,-18.92713146804323,41,-19.0,41,-19.0,0.07286853195677168,288.3323058639334,False,False,19.881710108084693,-0.0006371787539442065,10.11765271316136,0.0,0.5752684043233875
79,422.00009260612853,306.5720873549735,3.5251119845952386,1.8293709443051172,3.9715252178230944,-18.14823501741685,42,-18.0,42,-18.0,0.14823501741685163,288.9460407850792,False,False,19.859394708991395,-0.0026368344466289172,10.137968456561975,0.0,0.5743757883596559
